GlobalUltimateDUNS,Text,configuration/entityTypes/Organization/attributes/DUNSHierarchy/attributes/GlobalUltimateDUNS,Global Ultimate DUNS
GlobalUltimateOrganization,Text,configuration/entityTypes/Organization/attributes/DUNSHierarchy/attributes/GlobalUltimateOrganization,Global Ultimate Organization
DomesticUltimateDUNS,Text,configuration/entityTypes/Organization/attributes/DUNSHierarchy/attributes/DomesticUltimateDUNS,Domestic Ultimate DUNS
DomesticUltimateOrganization,Text,configuration/entityTypes/Organization/attributes/DUNSHierarchy/attributes/DomesticUltimateOrganization,Domestic Ultimate Organization
ParentDUNS,Text,configuration/entityTypes/Organization/attributes/DUNSHierarchy/attributes/ParentDUNS,Parent DUNS
ParentOrganization,Text,configuration/entityTypes/Organization/attributes/DUNSHierarchy/attributes/ParentOrganization,Parent Organization
HeadquartersDUNS,Text,configuration/entityTypes/Organization/attributes/DUNSHierarchy/attributes/HeadquartersDUNS,Headquarters DUNS
HeadquartersOrganization,Text,configuration/entityTypes/Organization/attributes/DUNSHierarchy/attributes/HeadquartersOrganization,Headquarters Organization
FinancialStatementToDate,Date,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/FinancialStatementToDate,Financial Statement To Date
FinancialPeriodDuration,Text,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/FinancialPeriodDuration,Period Duration
SalesRevenueCurrency,Text,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/SalesRevenueCurrency,Sales Revenue Currency
SalesRevenueCurrencyCode,Text,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/SalesRevenueCurrencyCode,Sales Revenue Currency Code
SalesRevenueReliabilityCode,Text,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/SalesRevenueReliabilityCode,Sales Revenue Reliability Code
SalesRevenueUnitOfSize,Text,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/SalesRevenueUnitOfSize,Sales Revenue Unit Size
SalesRevenueAmount,Number,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/SalesRevenueAmount,Sales Revenue Amount
ProfitOrLossCurrency,Text,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/ProfitOrLossCurrency,Profit Or Loss Currency
ProfitOrLossReliabilityText,Text,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/ProfitOrLossReliabilityText,Profit Or Loss Reliability
ProfitOrLossUnitOfSize,Text,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/ProfitOrLossUnitOfSize,Profit Or Loss Unit
ProfitOrLossAmount,Number,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/ProfitOrLossAmount,Profit Or Loss Amount
SalesTurnoverGrowthRate,Number,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/SalesTurnoverGrowthRate,Sales Turnover Growth Rate
Sales3YryGrowthRate,Text,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/Sales3YryGrowthRate,Sales 3yr Growth Rate
Sales5YryGrowthRate,Text,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/Sales5YryGrowthRate,Sales 5yr Growth Rate
Employee3YryGrowthRate,Text,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/Employee3YryGrowthRate,Employee 3yr Growth Rate
Employee5YryGrowthRate,Text,configuration/entityTypes/Organization/attributes/KeyFinancialFiguresOverview/attributes/Employee5YryGrowthRate,Employee 5yr Growth Rate
IdentifiersType,Text,configuration/entityTypes/Organization/attributes/Identifiers/attributes/Type,Type
IdentifiersID,Text,configuration/entityTypes/Organization/attributes/Identifiers/attributes/ID,ID
IdentifiersStatus,Text,configuration/entityTypes/Organization/attributes/Identifiers/attributes/Status,Status
IdentifiersActivationDate,Date,configuration/entityTypes/Organization/attributes/Identifiers/attributes/ActivationDate,Activation Date
IdentifiersDeactivationDate,Date,configuration/entityTypes/Organization/attributes/Identifiers/attributes/DeactivationDate,Deactivation Date
IdentifiersDeactivationReasonCode,Text,configuration/entityTypes/Organization/attributes/Identifiers/attributes/DeactivationReasonCode,Deactivation Reason Code
IdentifiersReactivationDate,Date,configuration/entityTypes/Organization/attributes/Identifiers/attributes/ReactivationDate,Reactivation Date
OrgDetailMemberRole,Text,configuration/entityTypes/Organization/attributes/OrganizationDetail/attributes/MemberRole,Member Role
OrgDetailStandalone,Checkbox,configuration/entityTypes/Organization/attributes/OrganizationDetail/attributes/Standalone,Standalone
OrgDetailControlOwnershipDate,Date,configuration/entityTypes/Organization/attributes/OrganizationDetail/attributes/ControlOwnershipDate,Ownership Date
OrgDetailOperatingStatus,Text,configuration/entityTypes/Organization/attributes/OrganizationDetail/attributes/OperatingStatus,Operating Status
OrgDetailStartYear,Text,configuration/entityTypes/Organization/attributes/OrganizationDetail/attributes/StartYear,Start Year
OrgDetailFranchiseOperationType,Text,configuration/entityTypes/Organization/attributes/OrganizationDetail/attributes/FranchiseOperationType,Franchise Operation Type
